Time;Theta;Time(s);Theta(rad)
2790;54;2.79;0.942477796076938
2806;54;2.806;0.942477796076938
2822;54;2.822;0.942477796076938
2838;54;2.838;0.942477796076938
2854;54;2.854;0.942477796076938
2870;54;2.87;0.942477796076938
2887;54;2.887;0.942477796076938
2903;54;2.903;0.942477796076938
2919;54;2.919;0.942477796076938
2935;54;2.935;0.942477796076938
2951;55;2.951;0.959931088596881
2967;54;2.967;0.942477796076938
2983;55;2.983;0.959931088596881
3000;55;3;0.959931088596881
3016;55;3.016;0.959931088596881
3032;55;3.032;0.959931088596881
3048;55;3.048;0.959931088596881
3064;55;3.064;0.959931088596881
3080;55;3.08;0.959931088596881
3096;55;3.096;0.959931088596881
3112;56;3.112;0.977384381116825
3129;56;3.129;0.977384381116825
3145;56;3.145;0.977384381116825
3161;56;3.161;0.977384381116825
3177;56;3.177;0.977384381116825
3193;56;3.193;0.977384381116825
3209;56;3.209;0.977384381116825
3225;56;3.225;0.977384381116825
3241;56;3.241;0.977384381116825
3258;56;3.258;0.977384381116825
3274;56;3.274;0.977384381116825
3290;56;3.29;0.977384381116825
3306;56;3.306;0.977384381116825
3322;56;3.322;0.977384381116825
3338;56;3.338;0.977384381116825
3354;56;3.354;0.977384381116825
3370;56;3.37;0.977384381116825
3387;56;3.387;0.977384381116825
3403;56;3.403;0.977384381116825
3419;57;3.419;0.994837673636768
3435;57;3.435;0.994837673636768
3451;57;3.451;0.994837673636768
3467;57;3.467;0.994837673636768
3483;57;3.483;0.994837673636768
3500;57;3.5;0.994837673636768
3516;57;3.516;0.994837673636768
3532;57;3.532;0.994837673636768
3548;57;3.548;0.994837673636768
3564;57;3.564;0.994837673636768
3580;57;3.58;0.994837673636768
3596;57;3.596;0.994837673636768
3612;57;3.612;0.994837673636768
3629;57;3.629;0.994837673636768
3645;57;3.645;0.994837673636768
3661;57;3.661;0.994837673636768
3677;57;3.677;0.994837673636768
3693;57;3.693;0.994837673636768
3709;57;3.709;0.994837673636768
3725;57;3.725;0.994837673636768
3741;58;3.741;1.01229096615671
3758;57;3.758;0.994837673636768
3774;58;3.774;1.01229096615671
3790;58;3.79;1.01229096615671
3806;58;3.806;1.01229096615671
3822;58;3.822;1.01229096615671
3838;58;3.838;1.01229096615671
3854;58;3.854;1.01229096615671
3870;58;3.87;1.01229096615671
3887;58;3.887;1.01229096615671
3903;58;3.903;1.01229096615671
3919;58;3.919;1.01229096615671
3935;58;3.935;1.01229096615671
3951;58;3.951;1.01229096615671
3967;58;3.967;1.01229096615671
3983;58;3.983;1.01229096615671
4000;58;4;1.01229096615671
4016;58;4.016;1.01229096615671
4032;58;4.032;1.01229096615671
4048;58;4.048;1.01229096615671
4064;58;4.064;1.01229096615671
4080;58;4.08;1.01229096615671
4096;59;4.096;1.02974425867665
4112;59;4.112;1.02974425867665
4129;58;4.129;1.01229096615671
4145;59;4.145;1.02974425867665
4161;59;4.161;1.02974425867665
4177;59;4.177;1.02974425867665
4193;59;4.193;1.02974425867665
4209;59;4.209;1.02974425867665
4225;59;4.225;1.02974425867665
4241;59;4.241;1.02974425867665
4258;59;4.258;1.02974425867665
4274;59;4.274;1.02974425867665
4290;59;4.29;1.02974425867665
4306;59;4.306;1.02974425867665
4322;59;4.322;1.02974425867665
4338;59;4.338;1.02974425867665
4354;59;4.354;1.02974425867665
4370;59;4.37;1.02974425867665
4387;59;4.387;1.02974425867665
4403;59;4.403;1.02974425867665
4419;59;4.419;1.02974425867665
4435;59;4.435;1.02974425867665
4451;59;4.451;1.02974425867665
4467;59;4.467;1.02974425867665
4483;59;4.483;1.02974425867665
4500;59;4.5;1.02974425867665
4516;59;4.516;1.02974425867665
4532;59;4.532;1.02974425867665
4548;59;4.548;1.02974425867665
4564;59;4.564;1.02974425867665
4580;59;4.58;1.02974425867665
4596;59;4.596;1.02974425867665
4612;59;4.612;1.02974425867665
4629;59;4.629;1.02974425867665
4645;59;4.645;1.02974425867665
4661;59;4.661;1.02974425867665
4677;59;4.677;1.02974425867665
4693;59;4.693;1.02974425867665
4709;59;4.709;1.02974425867665
4725;59;4.725;1.02974425867665
4741;59;4.741;1.02974425867665
4758;59;4.758;1.02974425867665
4774;59;4.774;1.02974425867665
4790;59;4.79;1.02974425867665
4806;59;4.806;1.02974425867665
4822;59;4.822;1.02974425867665
4838;59;4.838;1.02974425867665
4854;59;4.854;1.02974425867665
4870;59;4.87;1.02974425867665
4887;59;4.887;1.02974425867665
